Indicator,,GDP (current US$),,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
Sao Tome and Principe,,302925488.1,348941656.4,318265835.3,347545391.8,375040173.8,422296762.3,..
Saudi Arabia,,7.46647E+11,7.5635E+11,6.5427E+11,6.44936E+11,6.88586E+11,7.82483E+11,..
Senegal,,18960182371,19770840286,17767704597,19027392876,21081669870,24129599552,..
Serbia,,48394238300,47062205547,39628549950,40630392019,44120424392,50508366850,..
Seychelles,,1328157609,1343007845,1377495054,1427524565,1503168690,1590180446,..
Sierra Leone,,4920343195,5015157816,4218723875,3674794530,3739577973,3999945202,..
Singapore,,3.07576E+11,3.14851E+11,3.08004E+11,3.18068E+11,3.38406E+11,3.64157E+11,..
Sint Maarten (Dutch part),,..,..,..,..,..,..,..
Slovakia,,98478349315,1.00948E+11,87769595120,89848359305,95617670260,1.06472E+11,..
Slovenia,,48116256926,49889553216,43102044291,44641210338,48455919386,54235484383,..
Solomon Islands,,1129787202,1172268296,1154650066,1232699140,1321131091,1411904531,..
Somalia,,3368199008,3340389106,4049001422,4198000287,4509001513,4721000393,..
South Africa,,3.66645E+11,3.50638E+11,3.17416E+11,2.96341E+11,3.49268E+11,3.68288E+11,..
South Sudan,,13257627119,13282033898,12374452028,3070885014,..,..,..
Spain,,1.36185E+12,1.37691E+12,1.19908E+12,1.2375E+12,1.31431E+12,1.42619E+12,..
Sri Lanka,,74317806538,79356449841,80604080689,82401038710,88019706804,88900770858,..
Sudan,,72065940086,82151588419,96741742022,95558220777,1.23053E+11,40851536134,..
Suriname,,5145757576,5240606061,4787367928,3167164371,3068766110,3427269682,..
Sweden,,5.79361E+11,5.74413E+11,4.98118E+11,5.12205E+11,5.35607E+11,5.51032E+11,..
Switzerland,,6.88504E+11,7.09183E+11,6.79832E+11,6.70181E+11,6.78965E+11,7.05501E+11,..
Syrian Arab Republic,,..,..,..,..,..,..,..
Tajikistan,,8448469838,9112544556,7854602392,6952678127,7157865188,7522947810,..
Thailand,,4.20333E+11,4.07339E+11,4.01296E+11,4.12353E+11,4.55276E+11,5.04993E+11,..
Timor-Leste,,5637671696,4041636957,3092624755,2503532102,2487269437,2581000000,..
Togo,,4320427496,4568900620,4179185205,4414908597,4765866980,5300214337,..
Tokelau,,..,..,..,..,..,..,..
Tonga,,450686353.7,443911052.3,435438217.3,401109307.4,430174168.7,450353313.9,..
Trinidad and Tobago,,27110262285,27477965424,25121524775,21746391333,22250455019,23410353435,..
Tunisia,,46251061734,47632326088,43152528548,41808379888,39952095561,39860715814,..
Turkey,,9.50579E+11,9.34186E+11,8.59797E+11,8.63722E+11,8.51549E+11,7.66509E+11,..
Turkmenistan,,39197543860,43524210526,35799714286,36180000000,37926285714,40761142857,..
Turks and Caicos Islands,,740776770,823968140,893501650,950357510,962525840,1022312010,..
Tuvalu,,37507514.54,37291841.43,35492333.86,36547419.87,40620557.13,42587778.47,..
Uganda,,24599550624,27291879819,27102650387,24133664285,25995031850,27476945526,..
Ukraine,,1.8331E+11,1.33503E+11,91030959455,93355993629,1.1219E+11,1.30832E+11,..
United Arab Emirates,,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.82575E+11,4.14179E+11,..
United Kingdom of Great Britain and Northern Ireland,,2.75357E+12,3.03473E+12,2.89642E+12,2.65924E+12,2.63787E+12,2.82521E+12,..
United Republic of Tanzania,,45680532614,49964788814,47378599025,49774021003,53320625959,57437073927,..
United States of America,,1.67848E+13,1.75217E+13,1.82193E+13,1.87072E+13,1.94854E+13,2.04941E+13,..
United States Virgin Islands,,3762000000,3622000000,3748000000,3863000000,3855000000,..,..
Uruguay,,57531233351,57236013086,53274304222,52687612262,56488991831,59596885024,..
Uzbekistan,,57690770140,76658542757,81847410182,81779019096,59159949231,50499920318,..
Vanuatu,,801787555.9,814954307,737917151.4,787942567.4,849708342.7,887817896.3,..
Venezuela (Bolivarian Republic of),,3.71005E+11,4.82359E+11,..,..,..,..,..
Viet Nam,,1.71222E+11,1.86205E+11,1.93241E+11,2.05276E+11,2.2378E+11,2.44948E+11,..
Wallis and Futuna Islands,,..,..,..,..,..,..,..
Western Sahara,,..,..,..,..,..,..,..
Yemen,,40415233436,43228585321,42628328212,30968242968,26818703093,26914402224,..
Zambia,,28045460442,27150630607,21154394546,20954754378,25868142077,26720073436,..
Zimbabwe,,19091020000,19495519600,19963120600,20548678100,22813010116,31000519447,..
