"Exports and imports of creative services, annual, 2003-2012 (Discontinued)",,,,,,,,,,,
,,,,,,,,,,,
MEASURE,Percentage of total trade in services,FLOW,Exports,,,,,,,,
,,,,,,,,,,,
,YEAR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bosnia and Herzegovina,  Audiovisual and related services,..,..,..,..,..,..,0.077724993,0.045780267,0.080328955,0.055756732
Bosnia and Herzegovina,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Botswana,"Advertising, market research and public opinion polling",0.124685759,0.143543164,0.209533222,0.122779123,0.293902093,0.333889242,0.170067311,0.058628033,0.094193648,0.019517102
Botswana,"Architectural, engineering and other technical services",0.293990986,0.537952732,0.438376603,0.87576448,0.968353711,0.92504869,0.861702441,0.845515132,0.524351089,13.15940593
Botswana,Research and Development,0.415878312,0.506143353,0.407192495,1.160493891,1.444914582,1.631251391,0.819185613,2.59164162,0.842520599,3.881275968
Botswana,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Botswana,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Botswana,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Brazil,"Advertising, market research and public opinion polling",0.971982387,0.883904447,0.794815392,0.822750534,0.8098379,1.097226647,1.256413123,1.197145919,1.553917093,1.759353295
Brazil,"Architectural, engineering and other technical services",14.44146645,16.00193903,17.07842343,15.58985531,17.5985105,18.37565886,20.13531302,17.57126561,19.27707463,22.43859157
Brazil,Research and Development,..,..,0.235351301,0.654456799,0.735174896,1.035464114,1.238976064,1.242845156,1.20038105,1.446642146
Brazil,"Personal, cultural and recreational services",0.513065952,0.369608061,0.347699019,0.417476776,0.306024388,0.283693207,0.29005745,0.340217654,0.140544991,0.107684637
Brazil,  Audiovisual and related services,0.276490859,0.116341905,0.099878486,0.106292133,0.069336194,0.085972316,0.092371332,0.099232899,0.035075398,0.031572643
