"Exports and imports of creative services, annual, 2003-2012 (Discontinued)",,,,,,,,,,,
,,,,,,,,,,,
MEASURE,Percentage of total trade in services,FLOW,Exports,,,,,,,,
,,,,,,,,,,,
,YEAR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Mali,  Audiovisual and related services,0.005351051,0.000829366,0.002916642,..,0.005044163,..,0.003668586,..,..,..
Mali,"  Other other personal, cultural and recreational services",0.072239192,0.011611127,0.107915767,0.089040375,0.164599002,0.055029716,0.151823005,0.170440774,..,..
Malta,"Advertising, market research and public opinion polling",0.091020377,0.151959253,0.198049722,0.242229229,0.483489139,0.46005288,0.365543398,0.30696873,0.296187073,..
Malta,"Architectural, engineering and other technical services",2.785572482,0.400657593,0.767032347,0.716941277,0.445736167,0.557983211,0.529461711,0.599993433,0.548436621,..
Malta,Research and Development,0.030025092,0.183395008,0.139559899,0.708277802,..,..,0.048700368,..,..,..
Malta,"Personal, cultural and recreational services",0,9.566125295,17.97337322,18.29076653,20.27630614,35.37207467,37.36735118,42.12886996,42.65298422,-
Malta,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Malta,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Marshall Islands,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Marshall Islands,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Marshall Islands,Research and Development,..,..,..,..,..,..,..,..,..,..
Marshall Islands,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Marshall Islands,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Marshall Islands,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Mauritania,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Mauritania,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Mauritania,Research and Development,..,..,..,..,..,..,..,..,..,..
Mauritania,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Mauritania,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Mauritania,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Mauritius,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Mauritius,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Mauritius,Research and Development,..,..,..,..,..,..,..,..,..,..
Mauritius,"Personal, cultural and recreational services",0.417480431,0.245046852,0.149125518,0.115239634,0.190098723,0.228942517,0.189641281,0.537051508,1.065656658,1.710802915
Mauritius,  Audiovisual and related services,0.011327594,0.031876013,0.033681478,0.016753426,0.071196325,0.013994426,0.019249975,0.051723767,0.188843607,0.054930674
Mauritius,"  Other other personal, cultural and recreational services",0.406152837,0.213170839,0.115444039,0.098546042,0.118902398,0.214948091,0.170391306,0.485327741,0.876813051,1.655842898
Mexico,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Mexico,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Mexico,Research and Development,..,..,..,..,..,..,..,..,..,..
Mexico,"Personal, cultural and recreational services",2.362361159,2.617227017,2.380349027,2.417370097,1.797694367,0.495197833,0.543112988,0.527443547,0.522954431,0.499433019
Mexico,  Audiovisual and related services,2.362361159,2.617227017,2.380349027,2.417370097,1.797694367,0.495197833,0.543112988,0.527443547,0.522954431,0.499433019
Mexico,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Micronesia (Federated States of),"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Micronesia (Federated States of),"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Micronesia (Federated States of),Research and Development,..,..,..,..,..,..,..,..,..,..
Micronesia (Federated States of),"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Micronesia (Federated States of),  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Micronesia (Federated States of),"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Mongolia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Mongolia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Mongolia,Research and Development,..,..,..,..,..,..,..,..,..,..
Mongolia,"Personal, cultural and recreational services",0.096200096,0.325020683,0.026539919,-,-0.026811633,0.10332461,0.050176099,0.059258528,0.02734627,0.021423027
Mongolia,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Mongolia,"  Other other personal, cultural and recreational services",0.096200096,0.325020683,0.026539919,..,0.026811633,0.10332461,0.050176099,0.059258528,0.02734627,..
Montenegro,"Advertising, market research and public opinion polling",_,_,_,_,_,0.900508418,0.900006982,0.982639563,0.682876578,..
Montenegro,"Architectural, engineering and other technical services",_,_,_,_,_,0.8992351,0.616189547,0.425015363,0.629411114,..
Montenegro,Research and Development,_,_,_,_,_,0.333882073,0.344325661,0.352848664,0.369405495,..
Montenegro,"Personal, cultural and recreational services",_,_,_,_,_,1.673139365,1.359319431,1.507616922,1.406533344,-
Montenegro,  Audiovisual and related services,_,_,_,_,_,0.140792549,0.030571464,0.09288683,0.061212849,-
Montenegro,"  Other other personal, cultural and recreational services",_,_,_,_,_,1.532346815,1.328747966,1.414831166,1.345320495,..
Montserrat,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Montserrat,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Montserrat,Research and Development,..,..,..,..,..,..,..,..,..,..
Montserrat,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Montserrat,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Montserrat,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Morocco,"Advertising, market research and public opinion polling",..,..,..,..,..,..,0.291309987,0.332647823,1.144487972,..
Morocco,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Morocco,Research and Development,..,..,..,..,..,..,..,..,..,..
Morocco,"Personal, cultural and recreational services",-,-,-,-,-,0.693047315,0.455415045,0.292449822,0.274974755,-
Morocco,  Audiovisual and related services,-,-,-,-,-,0.670895322,0.422624838,0.262231575,0.224334138,-
Morocco,"  Other other personal, cultural and recreational services",..,..,..,..,..,0.022151993,0.032798314,0.030210276,0.050640617,..
Mozambique,"Advertising, market research and public opinion polling",0.144435452,..,0.580754396,..,..,..,..,..,..,..
Mozambique,"Architectural, engineering and other technical services",0.652756118,..,5.107188079,8.31348816,7.746185657,8.604326399,14.90542286,14.50137794,6.454356534,..
Mozambique,Research and Development,1.978337972,..,0.162587837,..,..,..,..,..,0.149435497,..
Mozambique,"Personal, cultural and recreational services",0.018095558,0.063392434,0.126912089,0.600273346,0.106816879,0.123251016,0.046757238,0.203812172,0.566597954,-
Mozambique,  Audiovisual and related services,..,..,..,..,..,..,..,..,0.011871044,-
Mozambique,"  Other other personal, cultural and recreational services",0.018095558,0.063392434,0.126912089,0.600273346,0.106816879,0.123251016,0.046757238,0.203812172,0.55486657,..
Myanmar,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Myanmar,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Myanmar,Research and Development,..,..,..,..,..,..,..,..,..,..
Myanmar,"Personal, cultural and recreational services",0.019463931,-,-,-,-,-,-,-,-,-
Myanmar,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Myanmar,"  Other other personal, cultural and recreational services",0.019463931,..,..,..,..,..,..,..,..,..
Namibia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Namibia,"Architectural, engineering and other technical services",0.014716775,0.368359381,0.011390985,0.104814026,0.227187684,0.495776882,0.102988345,0.542770033,0.588817029,..
Namibia,Research and Development,..,..,..,..,..,..,..,..,..,..
Namibia,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Namibia,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Namibia,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Nauru,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Nauru,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Nauru,Research and Development,..,..,..,..,..,..,..,..,..,..
Nauru,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Nauru,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Nauru,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Nepal,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Nepal,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Nepal,Research and Development,..,..,..,..,..,..,..,..,..,..
Nepal,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Nepal,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Nepal,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Netherlands,"Advertising, market research and public opinion polling",0.530622605,0.394353763,0.333279578,0.287273228,0.243647772,0.20495823,0.619797311,0.650250457,0.54006646,..
Netherlands,"Architectural, engineering and other technical services",1.493937766,1.500386454,1.060311634,0.925986381,0.828016915,0.802679255,1.031864959,0.974114718,1.090686463,..
Netherlands,Research and Development,4.56000001,4.267536979,5.041952532,4.070307796,3.747905514,3.099444992,2.592071455,2.471265452,2.457976896,..
Netherlands,"Personal, cultural and recreational services",0.799288531,0.908570617,0.982444463,0.738272529,0.603327485,0.598589708,0.69438832,0.592273658,0.571847147,0.571198214
Netherlands,  Audiovisual and related services,0.721934635,0.893644364,0.645079318,0.493078857,0.35274438,0.40130569,0.488990386,0.389501113,0.378010233,-
Netherlands,"  Other other personal, cultural and recreational services",0.077353483,0.014924593,0.337366598,0.24519404,0.250582817,0.197285037,0.205397665,0.202771611,0.193837018,..
Netherlands Antilles,"Advertising, market research and public opinion polling",0.008276139,0.017665489,0.016372548,0.016824871,0.075627609,0.105216029,0.070796199,..,_,_
Netherlands Antilles,"Architectural, engineering and other technical services",0.223928683,0.21354132,0.248788058,0.360002009,0.360219973,0.342560419,0.420748543,..,_,_
Netherlands Antilles,Research and Development,..,..,..,..,..,..,..,..,_,_
Netherlands Antilles,"Personal, cultural and recreational services",0.036355898,0.030386863,0.01311937,0.035055999,0.009340272,0.02335971,0.001916067,-,_,_
Netherlands Antilles,  Audiovisual and related services,..,..,..,..,..,..,..,..,_,_
Netherlands Antilles,"  Other other personal, cultural and recreational services",0.036355898,0.030386863,0.01311937,0.035055999,0.009340272,0.02335971,0.001916067,..,_,_
New Caledonia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
New Caledonia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
New Caledonia,Research and Development,..,..,..,..,..,..,..,..,..,..
New Caledonia,"Personal, cultural and recreational services",0.386214815,0.466021333,0.245534247,1.082224816,2.825496289,1.017173595,0.227984095,0.32526874,0.524805674,-
New Caledonia,  Audiovisual and related services,0.359844861,0.438281968,0.124081547,0.189747878,2.551764255,0.514247292,0.056143841,0.064808417,0.077884316,..
New Caledonia,"  Other other personal, cultural and recreational services",0.026369954,0.027739365,0.121452701,0.892476938,0.273732034,0.502926304,0.171840255,0.260255881,0.446921358,..
New Zealand,"Advertising, market research and public opinion polling",0.370461017,0.633478963,0.608224782,0.574852882,0.605963489,0.679710574,0.576475782,0.543038905,0.546236747,..
New Zealand,"Architectural, engineering and other technical services",0.985092818,0.901483167,0.827179714,0.958084033,..,1.389625014,1.298995375,..,1.225123511,..
New Zealand,Research and Development,0.538857661,0.584749812,0.697430776,0.918168995,0.815720895,0.845858704,1.014607215,0.942337758,0.928599507,..
New Zealand,"Personal, cultural and recreational services",2.222783531,2.704458702,1.986862385,1.948103789,2.625854566,3.806359034,4.273635659,3.841239418,2.473663676,3.226118593
New Zealand,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
New Zealand,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Nicaragua,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Nicaragua,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Nicaragua,Research and Development,..,..,..,..,..,..,..,..,..,..
Nicaragua,"Personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0
Nicaragua,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Nicaragua,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Niger,"Advertising, market research and public opinion polling",0.05212529,..,..,..,..,..,..,..,..,..
Niger,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Niger,Research and Development,..,..,..,..,..,..,..,..,..,..
Niger,"Personal, cultural and recreational services",0.01105688,-,-,0.037545828,-,0.86519207,-,-,-,-
Niger,  Audiovisual and related services,0.01105688,..,..,..,..,..,..,..,..,..
Niger,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Nigeria,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Nigeria,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Nigeria,Research and Development,..,..,..,..,..,..,..,..,..,..
Nigeria,"Personal, cultural and recreational services",-,-,0,0,0,0,0,0,0,0
Nigeria,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Nigeria,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Niue,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Niue,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Niue,Research and Development,..,..,..,..,..,..,..,..,..,..
Niue,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Niue,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Niue,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Northern Mariana Islands,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Northern Mariana Islands,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Northern Mariana Islands,Research and Development,..,..,..,..,..,..,..,..,..,..
Northern Mariana Islands,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Northern Mariana Islands,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Northern Mariana Islands,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Norway,"Advertising, market research and public opinion polling",0.389413334,0.423889286,0.588721505,0.798408134,0.545175788,0.626627277,0.815261876,..,..,..
Norway,"Architectural, engineering and other technical services",3.817685373,3.672543032,4.742618443,6.430830939,5.675556077,6.490419415,7.049466994,..,..,..
Norway,Research and Development,0.694175811,0.782651066,1.086915861,1.474051743,1.006314627,1.157183107,1.506020212,..,..,..
Norway,"Personal, cultural and recreational services",0.969399578,0.721016046,1.197565867,1.26742506,1.156646856,1.241390444,1.232198006,0.99353204,1.045079282,1.080748616
Norway,  Audiovisual and related services,0.323822537,0.376789564,0.655431179,0.69017207,0.677772647,0.628997211,0.664699494,0.535953022,0.561534759,..
Norway,"  Other other personal, cultural and recreational services",0.645577041,0.34422803,0.542136229,0.577252293,0.478874472,0.612392488,0.567498091,..,..,..
Oman,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Oman,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Oman,Research and Development,..,..,..,..,..,..,..,..,..,..
Oman,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Oman,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Oman,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
"Pacific Islands, Trust Territory","Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,_
"Pacific Islands, Trust Territory","Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,_
"Pacific Islands, Trust Territory",Research and Development,_,_,_,_,_,_,_,_,_,_
"Pacific Islands, Trust Territory","Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
"Pacific Islands, Trust Territory",  Audiovisual and related services,_,_,_,_,_,_,_,_,_,_
"Pacific Islands, Trust Territory","  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Pakistan,"Advertising, market research and public opinion polling",0.303234501,0.36376732,0.462207722,0.656018254,0.610614065,0.633356791,0.527240773,0.364022448,0.427112202,0.396413676
Pakistan,"Architectural, engineering and other technical services",0.842318059,0.945795032,1.468189233,2.509982887,0.743356254,1.290171241,0.903841326,0.879720916,0.553936554,1.496385393
Pakistan,Research and Development,..,0.072753464,0.054377379,0.256702795,0.371678127,0.140745954,0.125533517,0.07583801,0.136505298,0.090412812
Pakistan,"Personal, cultural and recreational services",0.033692722,0.000363767,0.054377379,0.028522533,0.026548438,0.070372977,0.050213407,0.060670408,0.083517992,0.075471065
Pakistan,  Audiovisual and related services,0.033692722,..,..,..,..,0.046915318,..,..,0.043841986,0.023174953
Pakistan,"  Other other personal, cultural and recreational services",..,0.000363767,..,0.028522533,0.026548438,0.023457659,0.050213407,0.060670408,0.039676006,0.052296112
Palau,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Palau,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Palau,Research and Development,..,..,..,..,..,..,..,..,..,..
Palau,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Palau,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Palau,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Panama,"Advertising, market research and public opinion polling",..,..,..,..,..,..,0.038010426,0.033764229,0.041316623,0.078489415
Panama,"Architectural, engineering and other technical services",..,..,0.804629716,0.017499125,..,..,..,..,..,..
Panama,Research and Development,..,..,..,..,..,..,..,..,..,..
Panama,"Personal, cultural and recreational services",-,-,-,-,-,-,-,0.162389864,0.145985402,0.206315034
Panama,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Panama,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,0.162389864,0.145985402,0.206315034
"Panama, Canal Zone","Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,_
"Panama, Canal Zone","Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,_
"Panama, Canal Zone",Research and Development,_,_,_,_,_,_,_,_,_,_
"Panama, Canal Zone","Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
"Panama, Canal Zone",  Audiovisual and related services,_,_,_,_,_,_,_,_,_,_
"Panama, Canal Zone","  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
"Panama, excluding Canal Zone","Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,_
"Panama, excluding Canal Zone","Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,_
"Panama, excluding Canal Zone",Research and Development,_,_,_,_,_,_,_,_,_,_
"Panama, excluding Canal Zone","Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
"Panama, excluding Canal Zone",  Audiovisual and related services,_,_,_,_,_,_,_,_,_,_
"Panama, excluding Canal Zone","  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Papua New Guinea,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Papua New Guinea,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Papua New Guinea,Research and Development,1.191497312,3.763020648,0.824847084,0.588275426,0.736516112,1.878344258,1.899147245,1.99026452,..,..
Papua New Guinea,"Personal, cultural and recreational services",-,0.073422482,0.12692478,0.162186636,0.066930228,0.060206819,0.019417581,0,0.057007958,0.121816259
Papua New Guinea,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Papua New Guinea,"  Other other personal, cultural and recreational services",..,0.073422482,0.12692478,0.162186636,0.066930228,0.060206819,0.019417581,..,..,..
Paraguay,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Paraguay,"Architectural, engineering and other technical services",2.509467139,2.565356848,2.874378938,2.270252525,1.938563133,1.704436753,1.535819499,1.377765712,1.106160059,..
Paraguay,Research and Development,..,..,..,..,..,..,..,..,..,..
Paraguay,"Personal, cultural and recreational services",0,0,0,0,0,0,0,0.95018325,0,-
Paraguay,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Paraguay,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,0.95018325,..,..
Peru,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Peru,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Peru,Research and Development,..,..,..,..,..,..,..,..,..,..
Peru,"Personal, cultural and recreational services",-,-,-,-,0.107547691,0.107268437,0.093327689,0.104935403,0.12143839,-
Peru,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Peru,"  Other other personal, cultural and recreational services",..,..,..,..,0.107547691,0.107268437,0.093327689,0.104935403,0.12143839,..
Philippines,"Advertising, market research and public opinion polling",0.265565063,0.123670542,0.132596685,0.124146493,0.071677248,0.102912422,..,..,..,..
Philippines,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Philippines,Research and Development,0.088521688,0.074202325,0.17679558,0.155183116,0.122875282,0.205824843,..,..,..,..
Philippines,"Personal, cultural and recreational services",0.265565063,0.173138758,0.44198895,0.418994413,0.22527135,0.216116085,0.308698021,0.290883292,0.338543136,0.427257977
Philippines,  Audiovisual and related services,0.265565063,0.173138758,0.419889503,0.372439479,0.153594102,0.082329937,0.226983839,0.19155729,0.174913954,0.254191455
Philippines,"  Other other personal, cultural and recreational services",..,..,0.022099448,0.046554935,0.071677248,0.133786148,..,..,..,..
Poland,"Advertising, market research and public opinion polling",0.929294552,1.75244286,2.553495363,3.381880536,3.303378375,4.64653409,4.938310842,5.354523371,5.117277883,..
Poland,"Architectural, engineering and other technical services",1.345639193,1.824264166,2.289799329,2.41047388,2.240901148,2.96577266,3.065355158,2.783091419,2.483121972,..
Poland,Research and Development,0.333533736,0.720262092,1.039610917,0.888234642,0.882246332,1.012932434,1.123102547,1.719685066,1.955391528,..
Poland,"Personal, cultural and recreational services",0.540553503,0.677171485,0.574822213,0.718744103,0.670505988,0.579491117,0.488356627,0.940863721,1.400687652,1.031990485
Poland,  Audiovisual and related services,0.269123062,0.238035081,0.218169439,0.285617005,0.199135076,0.208474831,0.135219364,0.184322842,0.281397074,-
Poland,"  Other other personal, cultural and recreational services",0.271432267,0.439138985,0.358553195,0.433133395,0.471370964,0.372194689,0.353137472,0.756541353,1.119290914,..
Portugal,"Advertising, market research and public opinion polling",1.419070027,1.437590188,1.442924027,1.328477697,1.575467346,1.431498959,1.510939267,1.372332305,1.518562114,..
Portugal,"Architectural, engineering and other technical services",1.141509537,1.267051399,1.427055072,1.934418972,2.373610913,2.921153578,3.763560783,3.386998651,3.198612674,..
Portugal,Research and Development,0.2261796,0.197366953,0.236929483,0.279502058,0.245275454,0.22042902,0.265098888,0.227044709,0.247924754,..
Portugal,"Personal, cultural and recreational services",1.079982521,1.30759003,1.347805892,1.37752624,1.115994308,1.134607431,1.37526412,1.541576425,1.250487371,1.447937729
Portugal,  Audiovisual and related services,0.18760045,0.294779037,0.182379072,0.223697924,0.268267862,0.3415577,0.39238108,0.499883095,0.43133933,-
Portugal,"  Other other personal, cultural and recreational services",0.892470584,1.012810918,1.165424473,1.153829697,0.847726799,0.793105029,0.982880949,1.041691844,0.819149303,..
Qatar,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Qatar,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Qatar,Research and Development,..,..,..,..,..,..,..,..,..,..
Qatar,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,2.981973953
Qatar,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Qatar,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Republic of Moldova,"Advertising, market research and public opinion polling",0.620074409,0.475788967,1.140522384,1.528580604,1.613596219,1.798748697,2.295315773,2.987248504,2.282550739,2.255639098
Republic of Moldova,"Architectural, engineering and other technical services",..,..,..,..,0.019095813,0.335339843,0.50066111,0.486927218,0.247314146,0.243506494
Republic of Moldova,Research and Development,..,..,..,..,..,..,..,..,0.183783906,0.208262133
Republic of Moldova,"Personal, cultural and recreational services",0.200024003,0.234883161,0.195518123,0.130593021,0.044556898,0.041473125,0.001485641,0.009995573,0.038571931,0.142045455
Republic of Moldova,  Audiovisual and related services,0.200024003,0.234883161,0.195518123,0.130593021,0.044556898,0.041473125,0.001485641,0.009995573,0.038571931,0.142045455
Republic of Moldova,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Romania,"Advertising, market research and public opinion polling",1.6473153,1.550120505,2.88624034,3.571983625,4.279117856,4.838861201,4.393005442,3.800276114,4.727856515,..
Romania,"Architectural, engineering and other technical services",2.845380846,2.583524925,2.528817705,2.439659105,1.945839383,3.399613142,4.155804765,5.086142361,6.203076606,..
Romania,Research and Development,0.336937315,0.37892698,0.667610704,0.792627164,0.692150972,0.806474262,0.815130934,1.149753466,1.182771478,..
Romania,"Personal, cultural and recreational services",3.931111941,5.95935239,1.807275539,1.188943623,1.13180562,0.614158821,0.798419619,1.08170814,1.244511559,0.985038076
Romania,  Audiovisual and related services,0.748783221,1.308990708,1.254288061,0.730874505,0.805329928,0.294674238,0.404216837,0.787990214,0.552398442,-
Romania,"  Other other personal, cultural and recreational services",3.182318161,4.650361516,0.552962741,0.45806228,0.322137626,0.319484786,0.394200327,0.293704472,0.692131027,..
Russian Federation,"Advertising, market research and public opinion polling",5.273098111,5.923125853,6.276506702,5.771006553,5.950031332,5.56215122,5.352617124,5.800343165,6.654899981,6.692195821
Russian Federation,"Architectural, engineering and other technical services",5.571152164,4.398558853,4.596817794,5.053758255,5.292969845,6.350843325,7.579445546,7.167351185,6.480429518,6.525558021
Russian Federation,Research and Development,1.838174581,1.644015208,1.926704338,1.337043682,1.238721642,0.993114283,0.874532909,0.807757704,0.75655654,0.673770533
Russian Federation,"Personal, cultural and recreational services",0.768211676,0.795398816,0.750657787,0.746313766,0.740334109,0.760125365,0.819543029,1.051012248,0.892378918,0.939070849
Russian Federation,  Audiovisual and related services,0.361337392,0.451960941,0.507607098,0.494659542,0.500476353,0.510137089,0.611556693,0.799350493,0.562121038,0.530178152
Russian Federation,"  Other other personal, cultural and recreational services",0.406874284,0.343437875,0.243050689,0.251654224,0.239857756,0.249988276,0.207960399,0.251670628,0.33025788,0.408892697
Rwanda,"Advertising, market research and public opinion polling",..,..,..,0.022124063,0.016747333,..,..,..,..,..
Rwanda,"Architectural, engineering and other technical services",..,..,..,0.453924732,..,..,0.027562184,0.030287603,0.008826023,..
Rwanda,Research and Development,..,..,..,..,..,..,0.069785103,0.005477545,0.004645275,..
Rwanda,"Personal, cultural and recreational services",-,-,-,0.292190206,0.193710818,-,0.063627594,0.000644417,-,-
Rwanda,  Audiovisual and related services,..,..,..,0.292190206,0.131187442,..,0.063627594,0.000644417,-,-
Rwanda,"  Other other personal, cultural and recreational services",..,..,..,..,0.062523377,..,..,..,..,..
Saint Helena,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Saint Helena,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Saint Helena,Research and Development,..,..,..,..,..,..,..,..,..,..
Saint Helena,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Saint Helena,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Saint Helena,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Saint Kitts and Nevis,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
