Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,02/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bhutan,BTN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533711778,0.239956002,,,,0.016498739,0.442448705,-0.191275383,,0.250640813,,,0.465664584,0.557959009,1.298109574,0.779343364,0.699745469,6.321598162,0.256066013,1.482941271,4.862689356,1.752382634,1.368715533,1.163503519,1.234075042,0.321968437,0.550454644,-0.675563046,0.108298554,
Botswana,BWA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,0.022873287,-10.77468316,3.029488242,2.70887401,6.913131204,15.59400595,10.51448807,8.235571501,2.076534659,2.029737944,5.009258402,4.809249962,5.055481313,5.779523019,1.509584743,1.367987666,2.529699692,-0.20826592,-0.037722892,-6.897679919,-0.332319066,1.488459308,1.468356845,1.994132797,1.989749587,0.668733486,0.987699683,0.558882745,7.501536088,5.565284413,4.36383784,4.23771954,4.808086327,4.521739635,4.759384717,2.032694156,1.707877432,1.909905174,1.015882518,0.450528732,3.170218404,2.625089598,0.780776308,1.017574004,1.228610113,
Central African Republic,CAF,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.634562881,0.347479439,0.651273717,-0.073750919,2.061132712,1.478899213,0.82012189,-0.560847351,0.996511686,3.247514248,0.67042774,0.832097612,1.223261014,0.67848512,0.80731978,0.345905908,0.727137987,0.990741019,-0.30258951,0.104157669,0.048437881,-0.353864316,-0.756175026,-0.780440981,0.423212354,0.555910243,1.084111039,0.159684103,0.754709452,0.598007105,0.097219751,0.55631182,0.569331815,0.991441318,1.188901252,0.755217887,2.373745081,3.343021816,5.899031947,2.053330203,2.87409055,1.515876906,2.789944901,0.109563753,0.183640068,0.176976128,0.39759007,0.332412579,0.810612496,
Canada,CAN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.078724516,2.289990441,1.866661923,2.4250125,2.321282131,1.947940462,1.186355813,1.593399298,1.71071795,2.18360601,2.122763378,0.21675003,0.028727072,1.356215268,1.596989221,0.344547723,0.717913443,1.993269728,1.418416936,1.269193177,1.414596719,0.575791877,1.184737663,0.723955646,1.650299407,2.261072613,1.402868239,2.325650141,3.953574436,4.061040441,9.201639209,3.855496808,3.230609335,0.785738558,0.141948898,2.185150089,4.888365531,8.222072375,4.52638317,1.527990701,1.841583879,2.142834891,2.70668239,3.63882717,3.562326609,3.862850868,2.240240276,1.76758654,2.716491594,
Central Europe and the Baltics,CEB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.154231497,1.313947309,2.152369699,1.763536821,3.200410207,2.714049978,3.495244866,4.392092448,5.093336051,5.522128019,4.610447671,5.018366646,3.222819753,5.647575454,8.449389846,8.193189526,12.15123534,9.042722161,2.388362381,1.589600488,3.465433197,2.902608845,1.072339463,3.662903294,1.748259783,8.872880463,2.088501054,-1.460131919,
Switzerland,CHE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,0.577323359,0.731169939,1.17600493,1.37387097,1.199327369,0.193622542,1.235746492,2.148591612,1.087184706,0.415168502,0.64570401,1.258411483,1.213671207,1.478444777,2.928923249,3.84535787,5.015759767,8.483892537,3.504637371,2.739745935,5.588053796,1.801862473,0.652062675,12.47577818,10.14522628,0.539526361,8.801111042,3.02693357,2.968137827,5.979175869,-3.620379555,2.961593229,16.82877461,10.78413129,10.04311708,-9.597695508,
Channel Islands,CHI,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.135103896,-0.174290702,-0.009279711,-0.028509893,0.014250107,0.655977095,-0.00966938,0.150398627,1.131962166,1.119076275,0.733554183,1.109827162,1.583359753,0.663196455,0.39750231,0.815121359,1.670103143,4.001274713,3.716941086,4.294698261,1.996745304,2.174453509,2.036579343,2.098066372,4.52933051,4.026028906,6.169454628,6.205124781,5.672914638,11.6543488,6.241918165,5.916832274,3.656495171,5.322995327,6.851351402,6.068571208,4.901018925,7.761691959,10.28348767,8.037105618,7.330402955,9.573600861,11.34033082,7.480616564,9.110349292,8.632214366,4.847693816,2.107023512,2.039432009,
China,CHN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,4.49E-05,0.029819636,0.135296316,0.209664357,0.275698543,0.483945715,0.536046583,0.623424606,0.847702965,1.022558946,0.97565029,0.966308311,1.138837732,2.613162193,6.186882076,5.987156294,4.88044416,4.651826651,4.725334152,4.435577102,3.74900388,3.475082246,3.51300212,3.609099885,3.48740331,3.483641114,4.554254034,4.508579016,4.400965217,3.733635039,2.568888613,4.003562471,3.708828754,2.827090312,3.039875621,2.568342504,2.201338108,1.568957057,1.367677133,1.495368482,
Cote d'Ivoire,CIV,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.109265461,0.991081365,1.01113842,2.033151342,1.061836712,1.773570932,0.960520895,0.233836254,1.054486899,0.817571086,0.930263143,0.388374223,0.627320093,0.548829809,0.317760129,0.417905738,0.772523099,0.86749612,0.50413594,0.189496996,0.448639331,0.176551426,0.619151989,1.585708379,1.413817942,1.925072852,2.217557622,3.544216163,6.026776831,1.901556235,2.189990105,2.436260142,1.721728423,1.080517839,1.709389139,2.042272245,1.969861614,2.178644702,1.925661354,1.631267116,1.439124099,1.188172139,1.232800538,1.303332394,1.242401371,1.49167927,1.63605863,2.55588563,2.122573734,
