Indicator,,"Mortality rate, infant (per 1,000 live births)",,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
Timor-Leste,,46.4,44.8,43.4,42,40.7,39.3,..
Togo,,54.2,52.8,51.4,50,48.7,47.4,..
Tokelau,,..,..,..,..,..,..,..
Tonga,,14.9,14.7,14.4,14.1,13.8,13.4,..
Trinidad and Tobago,,19.1,18.6,18,17.4,16.9,16.4,..
Tunisia,,15,14.9,14.8,14.7,14.7,14.6,..
Turkey,,12.3,11.5,10.9,10.3,9.7,9.1,..
Turkmenistan,,45.9,44.6,43.2,41.8,40.6,39.3,..
Turks and Caicos Islands,,..,..,..,..,..,..,..
Tuvalu,,23.9,23.2,22.5,21.9,21.2,20.6,..
Uganda,,42.7,40.4,38.6,36.8,35.2,33.8,..
Ukraine,,8.7,8.4,8.1,7.9,7.7,7.5,..
United Arab Emirates,,6.8,6.8,6.7,6.6,6.6,6.5,..
United Kingdom of Great Britain and Northern Ireland,,4,3.9,3.8,3.7,3.7,3.6,..
United Republic of Tanzania,,43.9,43,41.9,40.6,38.8,37.6,..
United States of America,,6,5.9,5.8,5.8,5.7,5.6,..
United States Virgin Islands,,..,..,..,..,..,..,..
Uruguay,,8.2,7.9,7.6,7.2,6.8,6.4,..
Uzbekistan,,26.3,24.6,23,21.5,20.2,19.1,..
Vanuatu,,24.6,24.3,23.9,23.4,22.9,22.3,..
Venezuela (Bolivarian Republic of),,14.9,14.9,16.8,21.4,21.4,21.4,..
Viet Nam,,17.8,17.6,17.4,17.2,16.9,16.5,..
Wallis and Futuna Islands,,..,..,..,..,..,..,..
Western Sahara,,..,..,..,..,..,..,..
Yemen,,42.9,42.9,42.9,42.9,42.9,42.9,..
Zambia,,47.8,45.9,44.5,43.1,41.5,40.4,..
Zimbabwe,,42.8,40.4,38.5,36.3,35.4,33.9,..
