country_iso,year,foreign_investment
HPC,1973,1.7304578119999998
HTI,1973,1.49528706
IBD,1973,0.745319142
IBT,1973,0.8495067940000001
IDA,1973,1.524503069
IDB,1973,1.965681056
IDN,1973,3.570275713
IDX,1973,1.236695511
IND,1973,0.044331264
IRL,1973,0.6942467440000001
IRN,1973,2.073355943
IRQ,1973,-0.127571695
ISL,1973,-0.129738086
ISR,1973,1.315527996
ITA,1973,0.383551834
JAM,1973,3.845916623
JOR,1973,0.22575364899999997
JPN,1973,-0.009720362
KEN,1973,0.6898088490000001
KHM,1973,0.027030905
KOR,1973,0.028897796
KWT,1973,0.005547036
LAC,1973,0.848638639
LCN,1973,0.8378331179999999
LDC,1973,1.334920849
LIC,1973,1.887733439
LKA,1973,0.017387523999999998
LMC,1973,0.7891309809999999
LMY,1973,0.870532203
MAR,1973,0.087950074
MDG,1973,0.665431647
MEA,1973,0.208812164
MEX,1973,0.826700434
MIC,1973,0.826214737
MLI,1973,0.106442681
MLT,1973,1.49070029
MNA,1973,1.047310783
MRT,1973,2.951471049
MWI,1973,1.733134615
MYS,1973,2.2445526890000003
NAC,1973,0.328552613
NER,1973,39.41313387
NGA,1973,2.459956251
NIC,1973,1.207054199
NLD,1973,1.557601995
NOR,1973,0.92747691
NPL,1973,-0.0010286989999999999
NZL,1973,1.62197647
OED,1973,0.43693397100000003
OMN,1973,0.30778376
OSS,1973,0.75186193
PAK,1973,-0.063242265
PER,1973,0.869807879
PHL,1973,0.588125288
PNG,1973,8.613620859
PRE,1973,1.823721528
PRT,1973,0.629532358
PRY,1973,0.9241292440000001
PSS,1973,3.407895112
PST,1973,0.44718042700000005
QAT,1973,0.166271066
RWA,1973,0.6878852740000001
SAS,1973,0.035077929
SAU,1973,-4.187435671999999
SDN,1973,0.007279515
SEN,1973,0.262960399
SGP,1973,9.545355452
SLB,1973,1.266461538
SLE,1973,1.084783036
SLV,1973,0.41599645
SOM,1973,0.11833656
SSA,1973,1.299252938
SSF,1973,1.305634598
SST,1973,3.50513027
SUR,1973,4.18323759
SWE,1973,0.142507832
SWZ,1973,0.027038961
SYC,1973,15.82815471
SYR,1973,-0.0013891079999999998
TCD,1973,0.942522385
TEC,1973,0.307101648
TGO,1973,0.8118482490000001
THA,1973,0.718116753
TLA,1973,0.801590762
TMN,1973,1.047310783
TSA,1973,0.035077929
TSS,1973,1.305634598
TTO,1973,5.012227011
TUN,1973,2.123929471
TUR,1973,0.307101648
UGA,1973,0.305429418
UMC,1973,0.845713335
URY,1973,0.035062975
USA,1973,0.135402869
VEN,1973,-0.49308560700000004
WLD,1973,0.49251757799999996
ZAF,1973,0.093457957
ZMB,1973,1.4104905230000002
ZWE,1973,0.92132796
ARB,1974,-2.857048283
ARG,1974,0.024738815
AUS,1974,1.494665425
AUT,1974,0.503135897
BDI,1974,0.063719451
BEL,1974,2.029158556
BEN,1974,-0.42244660700000003
BFA,1974,0.35546271
BGD,1974,0.017582473
BHS,1974,22.68184693
BOL,1974,2.106082734
BRA,1974,1.14889278
BRB,1974,0.765366007
BRN,1974,0.193744821
BWA,1974,0.022873287000000003
CAF,1974,2.061132712
CAN,1974,2.321282131
CHL,1974,0.014250107
CIV,1974,1.061836712
CMR,1974,0.9576603309999999
COD,1974,0.541629839
COG,1974,7.875433058
COL,1974,0.33055507
CRI,1974,2.7788038630000003
CSS,1974,4.919943508999999
DEU,1974,0.48887835399999996
DNK,1974,0.7025669640000001
DOM,1974,1.832040196
DZA,1974,2.710126878
EAR,1974,-0.197919343
EAS,1974,0.504785127
ECA,1974,0.179775716
ECS,1974,0.772904083
ECU,1974,1.163766949
EGY,1974,0.001408609
EMU,1974,0.597742649
