country_iso,year,electrification
TEA,1994,88.88149685
TEC,1994,100.0
TLA,1994,89.61047953
TON,1994,80.0
TSA,1994,46.40478209
TUN,1994,86.8
TZA,1994,5.000712395
UGA,1994,3.898222923
UKR,1994,100.0
UMC,1994,94.37504939
URY,1994,97.59160614
USA,1994,100.0
VCT,1994,71.71898651
VEN,1994,98.33942413
VIR,1994,100.0
VUT,1994,18.0
WLD,1994,76.88350306
WSM,1994,80.0
XKX,1994,100.0
YEM,1994,40.97233582
ZMB,1994,14.95637035
ZWE,1994,28.1
ABW,1995,100.0
ALB,1995,100.0
AND,1995,100.0
ARE,1995,100.0
AUS,1995,100.0
AUT,1995,100.0
BEL,1995,100.0
BFA,1995,5.9081969260000005
BGD,1995,19.69823647
BGR,1995,100.0
BHS,1995,100.0
BIH,1995,100.0
BLR,1995,100.0
BLZ,1995,73.63381195
BMU,1995,100.0
BOL,1995,63.96632004
BRA,1995,91.728598
BRN,1995,100.0
BWA,1995,16.78660202
CAF,1995,3.0
CAN,1995,100.0
CEB,1995,100.0
CHE,1995,100.0
CHL,1995,95.61634064
CHN,1995,94.90936279
CIV,1995,42.269569399999995
CMR,1995,36.08877563
COL,1995,91.2
CUW,1995,100.0
CYM,1995,100.0
CYP,1995,100.0
CZE,1995,100.0
DEU,1995,100.0
DNK,1995,100.0
DOM,1995,84.26686859
EAP,1995,89.71507403
EAR,1995,57.01674447
EAS,1995,90.95925677
ECA,1995,99.99435013
ECS,1995,99.99787626
ECU,1995,89.830167
EGY,1995,95.5
EMU,1995,100.0
ERI,1995,22.9
ESP,1995,100.0
EST,1995,100.0
EUU,1995,100.0
FIN,1995,100.0
FRA,1995,100.0
FRO,1995,100.0
GBR,1995,100.0
GHA,1995,34.17048645
GIB,1995,100.0
GMB,1995,20.28566742
GRC,1995,100.0
GRL,1995,100.0
GTM,1995,60.8
GUM,1995,100.0
GUY,1995,71.37693024
HIC,1995,99.86284962
HKG,1995,100.0
HND,1995,66.122022
HRV,1995,100.0
HTI,1995,31.3
HUN,1995,100.0
IBD,1995,79.27947502
IBT,1995,72.13645141
IDN,1995,66.86
IMN,1995,100.0
IND,1995,51.39855576
IRL,1995,100.0
ISL,1995,100.0
ISR,1995,100.0
ITA,1995,100.0
JAM,1995,80.13378906
JOR,1995,97.96408844
JPN,1995,100.0
KAZ,1995,99.9
KEN,1995,4.449485302
KOR,1995,100.0
KWT,1995,100.0
LAC,1995,87.74362764
LAO,1995,25.0
LCN,1995,88.02850904
LIE,1995,100.0
LMC,1995,52.62724633
LMY,1995,71.69431398
LTE,1995,94.64913059
LTU,1995,100.0
LUX,1995,100.0
LVA,1995,100.0
MAC,1995,100.0
MAR,1995,56.5
MCO,1995,100.0
MDA,1995,100.0
MDG,1995,11.59483147
MEX,1995,95.78050232
MIC,1995,73.82247366
MKD,1995,100.0
MLT,1995,100.0
MNE,1995,100.0
MNP,1995,100.0
MWI,1995,2.899580002
NAC,1995,100.0
NAM,1995,30.00028419
NCL,1995,100.0
NER,1995,6.2
NGA,1995,38.07709503
NIC,1995,69.85863495
NLD,1995,100.0
NOR,1995,100.0
NZL,1995,100.0
OED,1995,99.57500317
PAN,1995,76.15818787
PER,1995,67.14525604
PHL,1995,69.23338318
POL,1995,100.0
PRT,1995,100.0
PRY,1995,77.469114
PST,1995,100.0
PYF,1995,100.0
QAT,1995,100.0
ROU,1995,100.0
RUS,1995,100.0
RWA,1995,0.07635790099999999
SAS,1995,48.01522811
SDN,1995,28.82863045
SEN,1995,28.93452835
SGP,1995,100.0
SLV,1995,76.995504
SMR,1995,100.0
SRB,1995,100.0
SVK,1995,100.0
SVN,1995,100.0
SWE,1995,100.0
SYC,1995,91.97094727
TCA,1995,92.31097412
TEA,1995,89.71507403
TEC,1995,99.99510571
TLA,1995,88.01020701
TON,1995,81.74249268
TSA,1995,48.01522811
TUN,1995,88.7
TZA,1995,5.757368088
UGA,1995,6.8
UKR,1995,100.0
UMC,1995,94.43222033
URY,1995,97.70396423
USA,1995,100.0
VCT,1995,73.07074738
VEN,1995,99.0
VIR,1995,100.0
VUT,1995,14.75195503
WLD,1995,77.66256865
WSM,1995,83.18624115
XKX,1995,100.0
YEM,1995,42.46951675
ZMB,1995,15.66163349
ZWE,1995,31.94942284
ABW,1996,100.0
ALB,1996,100.0
AND,1996,100.0
ARE,1996,100.0
AUS,1996,100.0
AUT,1996,100.0
BEL,1996,100.0
BEN,1996,14.5
BFA,1996,6.559186459
BGD,1996,22.26750946
BGR,1996,100.0
BHS,1996,100.0
BIH,1996,100.0
BLR,1996,100.0
BLZ,1996,74.74603271
BMU,1996,100.0
BOL,1996,71.0
BRA,1996,92.86709499999999
BRN,1996,100.0
BWA,1996,18.87187004
CAF,1996,3.248687983
CAN,1996,100.0
CEB,1996,100.0
CHE,1996,100.0
CHL,1996,95.617315
CHN,1996,95.24954987
CIV,1996,43.36985016
CMR,1996,37.231987
COL,1996,92.53090668
COM,1996,28.9
CUW,1996,100.0
CYM,1996,100.0
CYP,1996,100.0
CZE,1996,100.0
DEU,1996,100.0
DJI,1996,62.0
DNK,1996,100.0
DOM,1996,85.08574677
EAP,1996,90.48411364
EAR,1996,58.81202018
EAS,1996,91.62676778
ECA,1996,99.89915531
ECS,1996,99.96033045
ECU,1996,91.83609009
EGY,1996,95.8859024
EMU,1996,100.0
ERI,1996,24.70513153
ESP,1996,100.0
EST,1996,100.0
EUU,1996,100.0
FIN,1996,100.0
FJI,1996,66.9
FRA,1996,100.0
FRO,1996,100.0
GBR,1996,100.0
GHA,1996,36.23661041
GIB,1996,100.0
GMB,1996,21.86614037
GRC,1996,100.0
GRL,1996,100.0
GTM,1996,67.69598389
GUM,1996,100.0
GUY,1996,72.00123596
HIC,1996,99.86447456
HKG,1996,100.0
HND,1996,61.68111999999999
HRV,1996,100.0
HTI,1996,30.10258865
HUN,1996,100.0
IBD,1996,80.04190406
IBT,1996,72.4845054
IDN,1996,72.39
IMN,1996,100.0
IND,1996,52.985595700000005
IRL,1996,100.0
ISL,1996,100.0
ISR,1996,100.0
ITA,1996,100.0
JAM,1996,85.70604499999999
JOR,1996,98.10150146
JPN,1996,100.0
KAZ,1996,98.64108276
KEN,1996,6.619746208
KOR,1996,100.0
KWT,1996,100.0
LAC,1996,88.79115313
LAO,1996,31.76792145
LCN,1996,89.02984502
LIE,1996,100.0
LMC,1996,54.98577418
LMY,1996,72.06513478
LTE,1996,95.07759439
LTU,1996,100.0
LUX,1996,100.0
LVA,1996,100.0
MAC,1996,100.0
MAR,1996,61.21047211
MCO,1996,100.0
MDA,1996,100.0
MDG,1996,11.98586082
MEX,1996,96.093624
MIC,1996,74.75175076
MKD,1996,100.0
MLI,1996,6.2
MLT,1996,100.0
MNE,1996,100.0
MNP,1996,100.0
MWI,1996,3.290943861
NAC,1996,100.0
NAM,1996,30.98521423
NCL,1996,100.0
NER,1996,7.0
NGA,1996,39.00572205
NIC,1996,70.44062042
NLD,1996,100.0
NOR,1996,100.0
NPL,1996,17.9
NZL,1996,100.0
OED,1996,99.59859288
PAN,1996,77.09768677
PER,1996,67.0
PHL,1996,70.33217621
PNG,1996,11.0
POL,1996,100.0
PRT,1996,100.0
PRY,1996,85.99675751
PST,1996,100.0
PYF,1996,100.0
QAT,1996,100.0
ROU,1996,100.0
