country_iso,year,feature_films_produced
HND,2017,12.0
HKG,2011,53.0
HKG,2012,52.0
HKG,2013,42.0
HKG,2014,52.0
HKG,2015,59.0
HKG,2016,61.0
HKG,2017,53.0
IND,2011,1255.0
IND,2012,1602.0
IND,2013,1724.0
IND,2014,1868.0
IND,2015,1907.0
IND,2016,1986.0
IDN,2011,84.0
IDN,2012,86.0
IDN,2013,97.0
IDN,2014,109.0
IDN,2015,114.0
IDN,2016,124.0
IDN,2017,117.0
IRN,2011,76.0
IRN,2012,67.0
IRN,2013,87.0
IRN,2014,82.0
IRN,2015,85.0
IRN,2016,90.0
IRN,2017,98.0
ISR,2011,26.0
ISR,2012,40.0
ISR,2013,55.0
ISR,2014,32.0
ISR,2015,32.0
ISR,2016,30.0
ISR,2017,28.0
KAZ,2012,30.0
KAZ,2013,35.0
KAZ,2014,11.0
KAZ,2015,16.0
KAZ,2016,29.0
KAZ,2017,74.0
KGZ,2012,1.0
KGZ,2013,2.0
KGZ,2016,2.0
KGZ,2017,1.0
LAO,2012,4.0
LAO,2013,2.0
LAO,2014,4.0
LAO,2015,5.0
LAO,2016,5.0
LAO,2017,6.0
LVA,2011,6.0
LVA,2012,11.0
LVA,2013,10.0
LVA,2014,22.0
LVA,2015,17.0
LVA,2016,20.0
LVA,2017,21.0
LBN,2011,14.0
LBN,2012,7.0
LBN,2013,15.0
LBN,2014,12.0
LBN,2015,15.0
LTU,2011,2.0
LTU,2012,6.0
LTU,2013,15.0
LTU,2014,15.0
LTU,2015,9.0
LTU,2016,13.0
LTU,2017,11.0
MKD,2011,12.0
MKD,2012,10.0
MKD,2013,3.0
MKD,2014,7.0
MKD,2015,10.0
MKD,2016,11.0
MKD,2017,8.0
MDG,2014,51.0
MDG,2015,36.0
MDG,2016,14.0
MDG,2017,12.0
MYS,2011,49.0
MYS,2012,76.0
MYS,2013,71.0
MYS,2014,81.0
MYS,2015,80.0
MYS,2016,110.0
MYS,2017,85.0
MLI,2011,1.0
MLI,2017,1.0
