country_iso,year,mobile_subscriptions
GEO,1977,0.0
GHA,1977,0.0
GIB,1977,0.0
GIN,1977,0.0
GMB,1977,0.0
GNB,1977,0.0
GNQ,1977,0.0
GRC,1977,0.0
GRD,1977,0.0
GRL,1977,0.0
GTM,1977,0.0
GUM,1977,0.0
GUY,1977,0.0
HKG,1977,0.0
HND,1977,0.0
HRV,1977,0.0
HTI,1977,0.0
HUN,1977,0.0
IDN,1977,0.0
IND,1977,0.0
IRL,1977,0.0
IRN,1977,0.0
IRQ,1977,0.0
ISL,1977,0.0
ITA,1977,0.0
JAM,1977,0.0
JOR,1977,0.0
JPN,1977,0.0
KAZ,1977,0.0
KEN,1977,0.0
KGZ,1977,0.0
KHM,1977,0.0
KIR,1977,0.0
KNA,1977,0.0
KOR,1977,0.0
KWT,1977,0.0
LAO,1977,0.0
LBN,1977,0.0
LBR,1977,0.0
LBY,1977,0.0
LCA,1977,0.0
LKA,1977,0.0
LSO,1977,0.0
LTU,1977,0.0
LUX,1977,0.0
LVA,1977,0.0
MAC,1977,0.0
MAR,1977,0.0
MCO,1977,0.0
MDA,1977,0.0
MDG,1977,0.0
MDV,1977,0.0
MEX,1977,0.0
MHL,1977,0.0
MKD,1977,0.0
MLI,1977,0.0
MLT,1977,0.0
MMR,1977,0.0
MNG,1977,0.0
MNP,1977,0.0
MOZ,1977,0.0
MRT,1977,0.0
MUS,1977,0.0
MWI,1977,0.0
MYS,1977,0.0
NAM,1977,0.0
NCL,1977,0.0
NER,1977,0.0
NGA,1977,0.0
NIC,1977,0.0
NLD,1977,0.0
NOR,1977,0.0
NPL,1977,0.0
NRU,1977,0.0
NZL,1977,0.0
OMN,1977,0.0
PAK,1977,0.0
PAN,1977,0.0
PER,1977,0.0
PHL,1977,0.0
PNG,1977,0.0
POL,1977,0.0
PRI,1977,0.0
PRK,1977,0.0
PRT,1977,0.0
PRY,1977,0.0
PYF,1977,0.0
QAT,1977,0.0
ROU,1977,0.0
RUS,1977,0.0
RWA,1977,0.0
SDN,1977,0.0
SEN,1977,0.0
SGP,1977,0.0
SLB,1977,0.0
SLE,1977,0.0
SLV,1977,0.0
SOM,1977,0.0
STP,1977,0.0
SUR,1977,0.0
SVK,1977,0.0
SVN,1977,0.0
SWE,1977,0.0
SWZ,1977,0.0
SYC,1977,0.0
SYR,1977,0.0
TCA,1977,0.0
TCD,1977,0.0
TGO,1977,0.0
THA,1977,0.0
TJK,1977,0.0
TKM,1977,0.0
TON,1977,0.0
TTO,1977,0.0
TUN,1977,0.0
TUR,1977,0.0
TUV,1977,0.0
TZA,1977,0.0
UGA,1977,0.0
UKR,1977,0.0
URY,1977,0.0
USA,1977,0.0
UZB,1977,0.0
VCT,1977,0.0
VEN,1977,0.0
VGB,1977,0.0
VIR,1977,0.0
VNM,1977,0.0
VUT,1977,0.0
WSM,1977,0.0
YEM,1977,0.0
ZAF,1977,0.0
ZMB,1977,0.0
ZWE,1977,0.0
ABW,1978,0.0
AFG,1978,0.0
AGO,1978,0.0
ALB,1978,0.0
AND,1978,0.0
ARG,1978,0.0
ARM,1978,0.0
ASM,1978,0.0
ATG,1978,0.0
AUS,1978,0.0
AUT,1978,0.0
AZE,1978,0.0
BDI,1978,0.0
BEL,1978,0.0
BEN,1978,0.0
BFA,1978,0.0
BGD,1978,0.0
BGR,1978,0.0
BHR,1978,0.0
BHS,1978,0.0
BIH,1978,0.0
BLR,1978,0.0
BLZ,1978,0.0
BMU,1978,0.0
BOL,1978,0.0
BRA,1978,0.0
BRB,1978,0.0
BRN,1978,0.0
BTN,1978,0.0
BWA,1978,0.0
CAF,1978,0.0
CAN,1978,0.0
CHE,1978,0.0
CHL,1978,0.0
CHN,1978,0.0
CIV,1978,0.0
CMR,1978,0.0
COD,1978,0.0
COG,1978,0.0
COL,1978,0.0
COM,1978,0.0
CPV,1978,0.0
CRI,1978,0.0
CUB,1978,0.0
CYM,1978,0.0
CYP,1978,0.0
CZE,1978,0.0
DEU,1978,0.0
DJI,1978,0.0
DMA,1978,0.0
DNK,1978,0.0
DOM,1978,0.0
DZA,1978,0.0
ECU,1978,0.0
EGY,1978,0.0
ERI,1978,0.0
ESP,1978,0.0
EST,1978,0.0
ETH,1978,0.0
FIN,1978,0.0
FJI,1978,0.0
FRA,1978,0.0
FRO,1978,0.0
FSM,1978,0.0
GAB,1978,0.0
GBR,1978,0.0
GEO,1978,0.0
GHA,1978,0.0
GIB,1978,0.0
GIN,1978,0.0
